file,company,ticker,cik,status,buyer,acquirer,data_quality,deal_type,payment_type,announcement_date,board_rec_date,tender_exp_date,close_date,ann_year,per_share_upfront,max_per_share_cvr,has_cvr,shares_out,implied_equity_value_m,ann_to_close_days,ann_to_tender_days,currency,premium_override,override_source,unaffected_close,last_pre_close,premium_to_unaffected,premium_to_last,runup_4wk_pct,pct_premium_pre_captured,vol_ratio_4wk,n_price_weeks
day_one_biopharmaceuticals_inc_DAWN.md,"Day One Biopharmaceuticals, Inc.",DAWN,1845337,completed,Servier Pharmaceuticals LLC,Servier S.A.S.,ok,tender offer,cash,2026-03-06,2026-03-05,2026-04-22,2026-04-23,2026,21.5,21.5,False,103317336.0,2221.3,48,47,USD,False,,11.41,10.6,0.8843,1.0283,-0.071,-0.0803,0.7,112
decibel_therapeutics_inc_DBTX.md,"Decibel Therapeutics, Inc.",DBTX,1656536,completed,"Regeneron Pharmaceuticals, Inc.","Regeneron Pharmaceuticals, Inc.",ok,tender offer,cash,2023-08-09,2023-08-08,2023-09-22,2023-09-25,2023,4.0,7.5,True,25325711.0,101.3,47,44,USD,False,,3.5,3.03,0.1429,0.3201,-0.1343,-0.94,1.01,112
deciphera_pharmaceuticals_inc_DCPH.md,"Deciphera Pharmaceuticals, Inc.",DCPH,1654151,completed,"ONO Pharmaceutical Co., Ltd.","ONO Pharmaceutical Co., Ltd.",ok,tender offer,cash,2024-04-29,2024-04-28,2024-06-10,2024-06-11,2024,25.6,25.6,False,86475972.0,2213.8,43,42,USD,False,,15.73,14.65,0.6275,0.7474,-0.0687,-0.1094,0.82,111
dermira_inc_DERM.md,"Dermira, Inc.",DERM,1557883,completed,Eli Lilly and Company,Eli Lilly and Company,ok,tender offer,cash,2020-01-10,2020-01-10,2020-02-19,2020-02-20,2020,18.75,18.75,False,54695352.0,1025.5,41,40,USD,False,,12.7,14.65,0.4764,0.2799,0.1535,0.3223,1.03,111
dicerna_pharmaceuticals_drna.md,"Dicerna Pharmaceuticals, Inc.",DRNA,1399529,completed,Novo Nordisk A/S,Novo Nordisk A/S (Danish aktieselskab),ok,tender offer followed by short-form merger under DGCL Section 251(h),cash,2021-11-18,2021-11-17,2021-12-27,2021-12-28,2021,38.25,38.25,False,78129378.0,2988.4,40,39,USD,False,,21.23,22.16,0.8017,0.7261,0.0438,0.0546,0.9,111
digene_corp_DIGE.md,DIGENE CORPORATION,DIGE,1011582,completed,QIAGEN N.V.,QIAGEN N.V.,ok,tender offer,mixed,2007-06-03,2007-06-02,2007-07-20,2007-07-30,2007,61.25,61.25,False,24461887.0,1498.3,57,47,USD,False,,45.97,44.77,0.3324,0.3681,-0.0261,-0.0785,1.11,114
dimension_therapeutics_inc_DMTX.md,"Dimension Therapeutics, Inc.",DMTX,1592288,completed,Ultragenyx Pharmaceutical Inc.,Ultragenyx Pharmaceutical Inc.,ok,tender offer,cash,2017-10-03,2017-10-02,2017-11-06,2017-11-07,2017,6.0,6.0,False,25205395.0,151.2,35,34,USD,False,,3.48,6.0,0.7241,0.0,0.7241,1.0,1.1,108
dova_pharmaceuticals_inc_DOVA.md,"Dova Pharmaceuticals, Inc.",DOVA,1685071,completed,Swedish Orphan Biovitrum AB (publ),Swedish Orphan Biovitrum AB (publ),ok,tender offer,cash,2019-09-30,2019-09-29,2019-11-08,2019-11-12,2019,27.5,29.0,True,28841998.0,793.2,43,39,USD,False,,14.99,20.19,0.8346,0.3621,0.3469,0.4157,1.46,111
durata_therapeutics_inc_DRTX.md,"Durata Therapeutics, Inc.",DRTX,1544116,completed,Actavis W.C. Holding Inc.,Actavis plc,ok,tender offer,cash,2014-10-06,2014-10-05,2014-11-14,2014-11-17,2014,23.0,28.0,True,26790203.0,616.2,42,39,USD,False,,14.93,13.88,0.5405,0.6571,-0.0703,-0.1301,0.82,111
durect_corp_DRRX.md,DURECT CORPORATION,DRRX,1082038,completed,"Bausch Health Americas, Inc.",Bausch Health Companies Inc.,ok,tender offer,cash,2025-07-29,2025-07-28,2025-09-10,2025-09-11,2025,1.75,13.02,True,31042581.0,54.3,44,43,USD,False,,0.63,0.57,1.7778,2.0702,-0.0952,-0.0536,0.39,111
dusa_pharmaceuticals_inc_DUSA.md,"DUSA PHARMACEUTICALS, INC.",DUSA,879993,completed,"Caraco Pharmaceutical Laboratories, Ltd.",Sun Pharmaceutical Industries Limited,ok,tender offer,cash,2012-11-08,2012-11-07,2012-12-19,2012-12-20,2012,8.0,8.0,False,25027683.0,200.2,42,41,USD,False,,6.81,6.15,0.1747,0.3008,-0.0969,-0.5546,0.66,111
dynavax_technologies_corp_DVAX.md,Dynavax Technologies Corporation,DVAX,1029142,completed,"Samba Merger Sub, Inc.",Sanofi,ok,tender offer,cash,2025-12-24,2025-12-23,2026-02-09,2026-02-10,2025,15.5,15.5,False,114555453.0,1775.6,48,47,USD,False,,11.18,10.86,0.3864,0.4273,-0.0286,-0.0741,1.0,112
elan_corp_plc_ELN.md,"ELAN CORPORATION, PLC",ELN,737572,pending,Royalty Pharma,Royalty Pharma,ok,tender offer,cash,2013-05-15,2013-05-15,,,2013,,,False,,,,,USD,False,,12.01,11.78,,,-0.0192,,1.28,118
elevation_oncology_inc_ELEV.md,"Elevation Oncology, Inc.",ELEV,1783032,completed,"Concentra Biosciences, LLC","Concentra Biosciences, LLC",ok,tender offer,cash,2025-06-09,2025-06-08,2025-07-22,2025-07-23,2025,0.36,0.36,False,59252879.0,21.3,44,43,USD,False,,0.34,0.32,0.0588,0.125,-0.0588,-1.0,0.45,111
encysive_pharmaceuticals_inc_ENCY.md,ENCYSIVE PHARMACEUTICALS INC,ENCY,887023,completed,Pfizer Inc.,Pfizer Inc.,ok,tender offer,cash,2008-02-20,2008-02-20,2008-03-31,2008-06-10,2008,2.35,2.35,False,80962765.0,190.3,111,40,USD,False,,0.68,0.85,2.4559,1.7647,0.25,0.1018,0.53,121
endo_pharmaceuticals_solutions_inc_ENDP.md,"Indevus Pharmaceuticals, Inc.",ENDP,854222,completed,BTB Purchaser Inc.,Endo Pharmaceuticals Holdings Inc.,ok,tender offer,cash,2009-01-05,2009-01-05,2009-02-20,2009-03-23,2009,4.5,7.5,True,78187842.0,351.8,77,46,USD,False,,2.41,3.15,0.8672,0.4286,0.3071,0.3541,0.73,116
entasis_therapeutics_holdings_inc_ETTX.md,Entasis Therapeutics Holdings Inc.,ETTX,1724344,completed,"Innoviva Merger Sub, Inc.","Innoviva, Inc.",ok,tender offer,cash,2022-05-23,2022-05-22,2022-07-07,2022-07-11,2022,2.2,2.2,False,47851779.0,105.3,49,45,USD,False,,1.88,1.8,0.1702,0.2222,-0.0426,-0.25,0.63,112
epizyme_inc_EPZM.md,"Epizyme, Inc.",EPZM,1571498,completed,Ipsen Pharma SAS,Ipsen S.A.,ok,tender offer,cash,2022-06-27,2022-06-26,2022-08-11,2022-08-12,2022,1.45,2.45,True,168364752.0,244.1,46,45,USD,False,,0.45,0.95,2.2222,0.5263,1.1111,0.5,2.05,111
eurand_n_v_EURX.md,EURAND N.V.,EURX,1119745,completed,Axcan Pharma Holding B.V.,Axcan Holdings Inc.,ok,tender offer,cash,2010-12-01,2010-11-30,2011-01-20,2011-01-20,2010,12.0,12.0,False,48020637.0,576.2,50,50,USD,False,,10.96,11.53,0.0949,0.0408,0.052,0.5481,1.63,112
evoke_pharma_inc_EVOK.md,"Evoke Pharma, Inc.",EVOK,1403708,completed,"QOL Medical, LLC","QOL Medical, LLC",ok,tender offer,cash,2025-11-04,2025-11-03,2025-12-15,2025-12-17,2025,11.0,11.0,False,1722409.0,18.9,43,41,USD,False,,4.57,5.15,1.407,1.1359,0.1269,0.0902,0.11,110
five_prime_therapeutics_inc_fprx.md,"Five Prime Therapeutics, Inc.",FPRX,1175505,completed,Amgen Inc.,Amgen Inc.,ok,tender offer followed by Section 251(h) merger without stockholder vote,cash,2021-03-04,2021-03-03,2021-04-16,2021-04-16,2021,38.0,38.0,False,45941900.0,1745.8,43,43,USD,False,,41.63,35.27,-0.0872,0.0774,-0.1528,1.7521,0.96,30
flexion_therapeutics_inc_FLXN.md,Flexion Therapeutics Inc,FLXN,1419600,completed,"Pacira BioSciences, Inc.","Pacira BioSciences, Inc.",ok,tender offer,mixed,2021-10-11,2021-10-10,2021-11-18,2021-11-19,2021,8.5,16.5,True,50320466.0,427.7,39,38,USD,False,,6.05,5.78,0.405,0.4706,-0.0446,-0.1102,1.12,110
forma_therapeutics_holdings_inc_FMTX.md,"Forma Therapeutics Holdings, Inc.",FMTX,1538927,completed,"NNUS New Dev, Inc.",Novo Nordisk A/S,ok,tender offer,cash,2022-09-01,2022-08-31,2022-10-13,2022-10-14,2022,20.0,20.0,False,47866342.0,957.3,43,42,USD,False,,8.28,12.49,1.4155,0.6013,0.5085,0.3592,0.42,111
forty_seven_inc_FTSV.md,"Forty Seven, Inc.",FTSV,1667633,completed,"Toro Merger Sub, Inc.","Gilead Sciences, Inc.",ok,tender offer,cash,2020-03-02,2020-03-01,2020-04-06,2020-04-07,2020,95.5,95.5,False,48151481.0,4598.5,36,35,USD,False,,36.87,58.0,1.5902,0.6466,0.5731,0.3604,0.57,94
g1_therapeutics_inc_GTHX.md,"G1 Therapeutics, Inc.",GTHX,1560241,completed,Pharmacosmos A/S,Pharmacosmos A/S,ok,tender offer,cash,2024-08-07,2024-08-06,2024-09-17,2024-09-18,2024,7.15,7.15,False,52890375.0,378.2,42,41,USD,False,,2.51,3.98,1.8486,0.7965,0.5857,0.3168,0.85,111
genelabs_technologies_inc_ca_GNLB.md,"GENELABS TECHNOLOGIES, INC.",GNLB,874443,completed,SmithKline Beecham Corporation,GlaxoSmithKline plc,ok,tender offer,cash,2008-10-29,2008-10-29,2009-01-07,2009-01-07,2008,1.3,1.3,False,43879917.0,57.0,70,70,USD,False,,0.47,0.29,1.766,3.4828,-0.383,-0.2169,0.88,115
genentech_inc_DNA.md,GENENTECH INC,DNA,318771,completed,Roche Investments USA Inc.,Roche Holding Ltd,ok,tender offer,cash,2008-07-21,2009-03-12,2009-03-25,2009-03-26,2008,95.0,95.0,False,1053413655.0,100074.3,248,247,USD,False,,74.76,81.82,0.2707,0.1611,0.0944,0.3488,1.18,140
generation_bio_co_GBIO.md,Generation Bio Co.,GBIO,1733294,completed,XRA 7 Corp.,XOMA Royalty Corporation,ok,tender offer,cash,2025-12-15,2025-12-15,2026-02-06,2026-02-09,2025,4.2913,29.3013,True,6748972.0,29.0,56,53,USD,False,,5.42,5.43,-0.2082,-0.2097,0.0018,-0.0089,0.64,113
genzyme_corp_genz.md,GENZYME CORP,GENZ,732485,completed,sanofi-aventis,sanofi-aventis,ok,tender offer,mixed,2010-10-04,2010-10-07,2011-04-04,2011-04-08,2010,74.0,,False,258991017.0,19165.3,186,182,USD,False,,70.49,70.88,0.0498,0.044,0.0055,0.1111,0.58,924
greenlight_biosciences_holdings_pbc_GRNA.md,"GreenLight Biosciences Holdings, PBC",GRNA,1822691,completed,"Fall Line Capital, LLC","SW ParentCo, Inc.",ok,tender offer,cash,2023-05-30,2023-05-29,2023-07-19,2023-07-24,2023,0.3,0.3,False,151681314.0,45.5,55,50,USD,False,,0.32,0.2,-0.0625,0.5,-0.375,6.0,1.0,78
hillevax_inc_HLVX.md,"HilleVax, Inc.",HLVX,1888012,completed,XOMA Royalty Corporation,XOMA Royalty Corporation,ok,tender offer,cash,2025-08-04,2025-08-03,2025-09-15,2025-09-17,2025,1.95,1.95,False,50141064.0,97.8,44,42,USD,False,,2.06,2.04,-0.0534,-0.0441,-0.0097,0.1818,0.37,111
hyperion_therapeutics_inc_HPTX.md,HYPERION THERAPEUTICS INC,HPTX,1386858,completed,"Horizon Pharma, Inc.",Horizon Pharma plc,ok,tender offer,cash,2015-03-30,2015-03-29,2015-05-07,2015-05-07,2015,46.0,46.0,False,20874966.0,960.2,38,38,USD,False,,29.55,42.74,0.5567,0.0763,0.4464,0.8018,4.53,110
icagen_inc_ICGN.md,ICAGEN INC,ICGN,902622,completed,Eclipse Acquisition Corp.,Pfizer Inc.,ok,tender offer,cash,2011-07-20,2011-07-19,2011-09-02,2011-10-27,2011,6.0,6.0,False,8852725.0,53.1,99,44,USD,False,,2.14,7.43,1.8037,-0.1925,2.472,1.3705,12.41,119
icosavax_inc_ICVX.md,"Icosavax, Inc.",ICVX,1786255,completed,AstraZeneca Finance and Holdings Inc.,AstraZeneca PLC,ok,tender offer,cash,2023-12-12,2023-12-11,2024-02-16,2024-02-19,2023,15.0,20.0,True,50802709.0,762.0,69,66,USD,False,,6.85,10.51,1.1898,0.4272,0.5343,0.4491,1.66,114
idenix_pharmaceuticals_inc_IDIX.md,"Idenix Pharmaceuticals, Inc.",IDIX,1093649,completed,Imperial Blue Corporation,"Merck & Co., Inc.",ok,tender offer,cash,2014-06-09,2014-06-08,2014-08-04,2014-08-05,2014,24.5,24.5,False,151379334.0,3708.8,57,56,USD,False,,5.12,7.23,3.7852,2.3887,0.4121,0.1089,0.81,113
idm_pharma_inc_IDMI.md,"IDM PHARMA, INC.",IDMI,822206,completed,"Takeda America Holdings, Inc.",Takeda Pharmaceutical Company Limited,ok,tender offer,cash,2009-05-18,2009-05-17,2009-06-22,2009-06-24,2009,2.64,2.64,False,25278599.0,66.7,37,35,USD,False,,1.85,1.7,0.427,0.5529,-0.0811,-0.1899,0.66,110
igm_biosciences_inc_IGMS.md,"IGM Biosciences, Inc.",IGMS,1496323,completed,"Concentra Biosciences, LLC","Tang Capital Partners, LP",ok,tender offer,cash,2025-07-01,2025-07-01,2025-08-13,2025-08-14,2025,1.247,1.247,False,60189151.0,75.1,44,43,USD,False,,1.27,1.08,-0.0181,0.1546,-0.1496,8.2609,1.73,111
ignyta_inc_RXDX.md,"Ignyta, Inc.",RXDX,1557421,completed,Abingdon Acquisition Corp.,"Roche Holdings, Inc.",ok,tender offer,cash,2017-12-22,2017-12-21,2018-02-07,2018-02-08,2017,27.0,27.0,False,67656026.0,1826.7,48,47,USD,False,,16.68,15.25,0.6187,0.7705,-0.0857,-0.1386,0.53,112
imago_biosciences_inc_IMGO.md,"Imago BioSciences, Inc.",IMGO,1623715,completed,Merck Sharp & Dohme LLC,"Merck & Co., Inc.",ok,tender offer,cash,2022-11-21,2022-11-19,2023-01-10,2023-01-11,2022,36.0,36.0,False,33914435.0,1220.9,51,50,USD,False,,15.21,17.4,1.3669,1.069,0.144,0.1053,1.18,79
immune_design_corp_imdz.md,Immune Design Corp.,IMDZ,1437786,completed,Merck Sharp & Dohme Corp.,"Merck & Co., Inc.",ok,tender offer,cash,2019-02-21,2019-02-20,2019-04-01,2019-04-02,2019,5.85,5.85,False,48363046.0,282.9,40,39,USD,False,,1.42,1.44,3.1197,3.0625,0.0141,0.0045,0.3,111
immunomedics_inc_immu.md,IMMUNOMEDICS INC,IMMU,722830,completed,"Gilead Sciences, Inc.","Gilead Sciences, Inc.",ok,tender offer,cash,2020-09-13,2020-09-12,2020-10-22,2020-10-23,2020,88.0,88.0,False,231320559.0,20356.2,40,39,USD,False,,40.0,42.25,1.2,1.0828,0.0562,0.0469,0.49,111
inozyme_pharma_inc_INZY.md,"Inozyme Pharma, Inc.",INZY,1693011,completed,BioMarin Pharmaceutical Inc.,BioMarin Pharmaceutical Inc.,ok,tender offer,cash,2025-05-16,2025-05-15,2025-06-30,2025-07-01,2025,4.0,4.0,False,64915697.0,259.7,46,45,USD,False,,0.92,1.15,3.3478,2.4783,0.25,0.0747,2.09,112
insite_vision_inc_INSV.md,INSITE VISION INCORPORATED,INSV,802724,completed,Ranbaxy Inc.,Sun Pharmaceutical Industries Ltd.,ok,tender offer,cash,2015-09-15,2015-09-11,2015-10-27,2015-11-02,2015,0.35,0.35,False,131951033.0,46.2,48,42,USD,False,,0.22,0.34,0.5909,0.0294,0.5455,0.9231,2.98,112
inspire_pharmaceuticals_inc_ISPH.md,"Inspire Pharmaceuticals, Inc.",ISPH,1040416,completed,"Merck & Co., Inc.","Merck & Co., Inc.",ok,tender offer,cash,2011-04-05,2011-04-05,2011-05-12,2011-05-16,2011,5.0,5.0,False,83292192.0,416.5,41,37,USD,False,,4.0,3.94,0.25,0.269,-0.015,-0.06,0.57,111
intercept_pharmaceuticals_inc_ICPT.md,"INTERCEPT PHARMACEUTICALS, INC.",ICPT,1270073,completed,Alfasigma S.p.A.,Alfasigma S.p.A.,ok,tender offer,cash,2023-09-26,2023-09-26,2023-11-07,2023-11-08,2023,19.0,19.0,False,41814336.0,794.5,43,42,USD,False,,10.8,10.48,0.7593,0.813,-0.0296,-0.039,1.22,111
intermune_inc_ITMN.md,"INTERMUNE, INC.",ITMN,1087432,completed,"Roche Holdings, Inc.",Roche Holding Ltd,ok,tender offer,cash,2014-08-24,2014-08-22,2014-09-26,2014-09-29,2014,74.0,74.0,False,108385813.0,8020.6,36,33,USD,False,,45.5,53.8,0.6264,0.3755,0.1824,0.2912,1.45,110
iteos_therapeutics_inc_ITOS.md,"iTeos Therapeutics, Inc.",ITOS,1808865,completed,"Concentra Biosciences, LLC","Tang Capital Partners, LP",ok,tender offer,cash,2025-07-21,2025-07-18,2025-08-28,2025-08-29,2025,10.047,10.047,False,44171194.0,443.8,39,38,USD,False,,9.96,10.26,0.0087,-0.0208,0.0301,3.4483,0.43,110
jounce_therapeutics_inc_jnce.md,"Jounce Therapeutics, Inc.",JNCE,1640455,completed,"Concentra Biosciences, LLC","Concentra Biosciences, LLC",ok,tender offer,cash,2023-03-27,2023-03-27,2023-05-03,2023-05-03,2023,1.85,,False,52635468.0,97.4,37,37,USD,False,,1.36,1.52,0.3603,0.2171,0.1176,0.3265,1.9,11
juniper_pharmaceuticals_inc_JNP.md,JUNIPER PHARMACEUTICALS INC,JNP,821995,completed,"Catalent Pharma Solutions, Inc.","Catalent, Inc.",ok,tender offer,cash,2018-07-03,2018-07-02,2018-08-13,2018-08-14,2018,11.5,11.5,False,11104757.0,127.7,42,41,USD,False,,8.9,8.7,0.2921,0.3218,-0.0225,-0.0769,0.75,111
kalvista_pharmaceuticals_inc_KALV.md,"KalVista Pharmaceuticals, Inc.",KALV,1348911,completed,Chiesi Farmaceutici S.p.A.,Chiesi Farmaceutici S.p.A.,ok,tender offer,cash,2026-04-29,2026-04-28,2026-06-10,2026-06-11,2026,27.0,27.0,False,53240888.0,1437.5,43,42,USD,False,,19.33,19.63,0.3968,0.3754,0.0155,0.0391,1.23,111
kezar_life_sciences_inc_KZR.md,"Kezar Life Sciences, Inc.",KZR,1645666,completed,"Aurinia Pharma U.S., Inc.",Aurinia Pharmaceuticals Inc.,ok,tender offer,cash,2026-03-30,2026-03-29,2026-05-08,2026-05-11,2026,6.955,,False,7387701.0,51.4,42,39,USD,False,,6.7,6.2,0.0381,0.1218,-0.0746,-1.9608,0.69,111
king_pharmaceuticals_acquisition_report.md,"Pfizer Acquisition of King Pharmaceuticals, Inc.",,,,,,ok,,,,,,,,,,False,249958811.0,,,,USD,False,,,,,,,,,23
king_pharmaceuticals_inc_KG.md,KING PHARMACEUTICALS INC,KG,1047699,completed,Pfizer Inc.,Pfizer Inc.,ok,tender offer,cash,2010-10-11,2010-10-11,2011-01-28,2011-02-28,2010,14.25,14.25,False,249958811.0,3561.9,140,109,USD,False,,9.37,10.31,0.5208,0.3822,0.1003,0.1926,0.94,125
kinnate_biopharma_inc_KNTE.md,Kinnate Biopharma Inc.,KNTE,1797768,completed,XRA 1 Corp.,XOMA Corporation,ok,tender offer,cash,2024-02-16,2024-02-15,2024-04-02,2024-04-03,2024,2.5879,2.5879,False,47225312.0,122.2,47,46,USD,False,,2.39,2.29,0.0828,0.1301,-0.0418,-0.5053,0.36,112
kite_pharma_inc_KITE.md,"Kite Pharma, Inc.",KITE,1510580,completed,"Gilead Sciences, Inc.","Gilead Sciences, Inc.",ok,tender offer,cash,2017-08-28,2017-08-27,2017-10-02,2017-10-03,2017,180.0,180.0,False,57410242.0,10333.8,36,35,USD,False,,111.43,139.1,0.6154,0.294,0.2483,0.4035,0.84,110
kos_pharmaceuticals_inc_KOSP.md,KOS PHARMACEUTICALS INC,KOSP,1018952,completed,Parthenon Acquisition Corp.,Abbott Laboratories,ok,tender offer,cash,2006-11-06,2006-11-05,2006-12-12,2006-12-13,2006,78.0,78.0,False,47630852.0,3715.2,37,36,USD,False,,48.7,50.09,0.6016,0.5572,0.0285,0.0474,0.68,110
kronos_bio_inc_KRON.md,"Kronos Bio, Inc.",KRON,1741830,completed,"Concentra Biosciences, LLC","Concentra Biosciences, LLC",ok,tender offer,cash,2025-05-01,2025-04-30,2025-06-18,2025-06-20,2025,0.57,,False,60969214.0,34.8,50,48,USD,False,,0.82,0.85,-0.3049,-0.3294,0.0366,-0.12,0.57,112
la_jolla_pharmaceutical_co_LJPC.md,LA JOLLA PHARMACEUTICAL CO,LJPC,920465,completed,"Innoviva, Inc.","Innoviva, Inc.",ok,tender offer,cash,2022-07-11,2022-07-10,2022-08-19,2022-08-22,2022,6.23,6.23,False,24926469.0,155.3,42,39,USD,False,,3.46,3.39,0.8006,0.8378,-0.0202,-0.0253,0.92,111
lava_therapeutics_nv_LVTX.md,LAVA Therapeutics N.V.,LVTX,1840748,completed,XOMA Royalty Corporation,XOMA Royalty Corporation,ok,tender offer,mixed,2025-08-04,2025-08-03,2025-11-12,2025-11-13,2025,1.04,1.04,False,26305295.0,27.4,101,100,USD,False,,1.32,1.42,-0.2121,-0.2676,0.0758,-0.3571,2.07,119
lisata_therapeutics_inc_LSTA.md,"Lisata Therapeutics, Inc.",LSTA,320017,pending,Kuva Labs Inc.,Kuva Labs Inc.,ok,tender offer,cash,2026-03-06,2026-05-29,2026-07-10,,2026,4.0,7.0,True,9101943.0,36.4,,126,USD,False,,4.54,4.1,-0.1189,-0.0244,-0.0969,0.8148,0.39,118
logicbio_therapeutics_inc_LOGC.md,"LogicBio Therapeutics, Inc.",LOGC,1664106,completed,"Alexion Pharmaceuticals, Inc.",AstraZeneca PLC,ok,tender offer,cash,2022-10-03,2022-10-02,2022-11-15,2022-11-16,2022,2.07,2.07,False,32962733.0,68.2,44,43,USD,False,,1.21,0.73,0.7107,1.8356,-0.3967,-0.5581,1.96,101
longboard_pharmaceuticals_inc_LBPH.md,"Longboard Pharmaceuticals, Inc.",LBPH,1832168,completed,Lundbeck LLC,H. Lundbeck A/S,ok,tender offer,cash,2024-10-14,2024-10-13,2024-11-27,2024-12-02,2024,60.0,60.0,False,39045703.0,2342.7,49,44,USD,False,,34.32,38.9,0.7483,0.5424,0.1334,0.1783,1.67,112
loxo_oncology_inc_LOXO.md,"Loxo Oncology, Inc.",LOXO,1581720,completed,Eli Lilly and Company,Eli Lilly and Company,ok,tender offer,cash,2019-01-07,2019-01-05,2019-02-14,2019-02-15,2019,235.0,235.0,False,30787728.0,7235.1,39,38,USD,False,,135.0,139.87,0.7407,0.6801,0.0361,0.0487,0.91,110
lumos_pharma_inc_LUMO.md,"Lumos Pharma, Inc.",LUMO,1126234,completed,Double Point Ventures LLC,Double Point Ventures LLC,ok,tender offer,mixed,2024-10-23,2024-10-21,2024-12-11,2024-12-12,2024,4.25,8.75,True,8648618.0,36.8,50,49,USD,False,,3.93,4.02,0.0814,0.0572,0.0229,0.2812,0.25,112
map_pharmaceuticals_inc_MAPP.md,"MAP Pharmaceuticals, Inc.",MAPP,1401923,completed,"Allergan, Inc.","Allergan, Inc.",ok,tender offer,cash,2013-01-22,2013-01-22,2013-02-28,2013-03-01,2013,25.0,25.0,False,35569770.0,889.2,38,37,USD,False,,,,,,,,,0
marinus_pharmaceuticals_inc_MRNS.md,"MARINUS PHARMACEUTICALS, INC.",MRNS,1267813,completed,Immedica Pharma AB,Immedica Pharma AB,ok,tender offer,cash,2024-12-30,2024-12-29,2025-02-06,2025-02-11,2024,0.55,0.55,False,55218486.0,30.4,43,38,USD,False,,0.32,0.37,0.7188,0.4865,0.1562,0.2174,0.32,111
martek_biosciences_corp_MATK.md,MARTEK BIOSCIENCES CORPORATION,MATK,892025,completed,Greenback Acquisition Corporation,Koninklijke DSM N.V.,ok,tender offer,cash,2010-12-21,2010-12-20,2011-02-18,2011-02-25,2010,31.5,31.5,False,33532053.0,1056.3,66,59,USD,False,,22.08,23.02,0.4266,0.3684,0.0426,0.0998,1.48,114
matrixx_initiatives_inc_MTXX.md,"MATRIXX INITIATIVES, INC.",MTXX,1006195,completed,"H.I.G. Capital, LLC","H.I.G. Capital, LLC",ok,tender offer,cash,2010-12-14,2010-12-13,2011-02-14,2011-02-18,2010,8.75,8.75,False,9398587.0,82.2,66,62,USD,False,,5.31,5.14,0.6478,0.7023,-0.032,-0.0494,0.82,114
medicines_co_de_MDCO.md,The Medicines Company,MDCO,1113481,completed,Novartis AG,Novartis AG,ok,tender offer,cash,2019-11-24,2019-11-22,2020-01-03,2020-01-06,2019,85.0,85.0,False,80183716.0,6815.6,43,40,USD,False,,56.97,68.55,0.492,0.24,0.2033,0.4131,1.19,111
medimmune_inc_de_MEDI.md,"MedImmune, Inc.",MEDI,873591,completed,AstraZeneca Biopharmaceuticals Inc.,AstraZeneca PLC,ok,tender offer,cash,2007-04-23,2007-04-22,2007-05-31,2007-06-18,2007,58.0,58.0,False,238141500.0,13812.2,56,38,USD,False,,34.11,48.01,0.7004,0.2081,0.4075,0.5818,2.63,113
medivation_inc_MDVN.md,"MEDIVATION, INC.",MDVN,1011835,completed,"Montreal, Inc.",Pfizer Inc.,ok,tender offer,cash,2016-08-22,2016-08-20,2016-09-27,2016-09-28,2016,81.5,81.5,False,165980981.0,13527.4,37,36,USD,False,,62.63,67.16,0.3013,0.2135,0.0723,0.2401,0.86,110
memory_pharmaceuticals_corp_MEMY.md,MEMORY PHARMACEUTICALS CORP,MEMY,1062216,completed,Hoffmann-La Roche Inc.,Hoffmann-La Roche Inc.,ok,tender offer,cash,2008-11-25,2008-11-24,2008-12-31,2009-01-05,2008,0.61,0.61,False,82243050.0,50.2,41,36,USD,True,https://www.pharmaceuticalonline.com/doc/roche-signs-definitive-agreement-to-acquire-0001,0.146,0.146,3.19,3.19,,,3.05,111
mersana_therapeutics_inc_MRSN.md,"Mersana Therapeutics, Inc.",MRSN,1442836,completed,"Emerald Merger Sub, Inc.","Day One Biopharmaceuticals, Inc.",ok,tender offer,cash,2025-11-13,2025-11-12,2026-01-05,2026-01-06,2025,25.0,55.25,True,4999615.0,125.0,54,53,USD,False,,9.24,8.41,1.7056,1.9727,-0.0898,-0.0527,0.9,113
merus_n_v_MRUS.md,Merus N.V.,MRUS,1651311,completed,Genmab Holding II B.V.,Genmab A/S,ok,tender offer,cash,2025-09-29,2025-09-28,2025-12-11,2025-12-29,2025,97.0,97.0,False,75842847.0,7356.8,91,73,USD,False,,65.84,68.89,0.4733,0.408,0.0463,0.0979,0.92,118
mgi_pharma_inc_MOGN.md,MGI PHARMA INC,MOGN,702131,completed,Jaguar Acquisition Corp.,"Eisai Co., Ltd.",ok,tender offer,cash,2007-12-10,2007-12-09,2008-01-22,2008-01-28,2007,41.0,41.0,False,81268043.0,3332.0,49,43,USD,False,,29.92,33.45,0.3703,0.2257,0.118,0.3186,1.43,112
micromet_inc_MITI.md,"MICROMET, INC.",MITI,1131907,completed,Amgen Inc.,Amgen Inc.,ok,tender offer,cash,2012-01-26,2012-01-25,2012-03-01,2012-03-07,2012,11.0,11.0,False,92375454.0,1016.1,41,35,USD,False,,,,,,,,,0
millennium_pharmaceuticals_inc_MLNM.md,"Millennium Pharmaceuticals, Inc.",MLNM,1002637,completed,"Takeda America Holdings, Inc.",Takeda Pharmaceutical Company Limited,ok,tender offer,cash,2008-04-10,2008-04-09,2008-05-13,2008-05-14,2008,25.0,25.0,False,326704024.0,8167.6,34,33,USD,False,,13.08,16.16,0.9113,0.547,0.2355,0.2584,0.93,110
